Id,Category
1,entailment
2,entailment
3,neutral
4,neutral
5,neutral
6,entailment
7,neutral
8,contradiction
9,entailment
10,neutral
11,neutral
12,entailment
13,contradiction
14,entailment
15,contradiction
16,contradiction
17,neutral
18,neutral
19,entailment
20,entailment
21,neutral
22,neutral
23,entailment
24,neutral
25,contradiction
26,entailment
27,neutral
28,entailment
29,contradiction
30,entailment
31,entailment
32,entailment
33,contradiction
34,entailment
35,neutral
36,neutral
37,neutral
38,neutral
39,neutral
40,neutral
41,entailment
42,neutral
43,contradiction
44,contradiction
45,contradiction
46,neutral
47,neutral
48,neutral
49,contradiction
50,entailment
51,neutral
52,neutral
53,neutral
54,neutral
55,entailment
56,neutral
57,neutral
58,neutral
59,contradiction
60,contradiction
61,entailment
62,neutral
63,contradiction
64,neutral
65,neutral
66,entailment
67,neutral
68,neutral
69,neutral
70,contradiction
71,entailment
72,contradiction
73,neutral
74,neutral
75,contradiction
76,neutral
77,neutral
78,neutral
79,neutral
80,neutral
81,contradiction
82,entailment
83,neutral
84,entailment
85,neutral
86,contradiction
87,entailment
88,contradiction
89,neutral
90,neutral
91,neutral
92,neutral
93,entailment
94,neutral
95,neutral
96,entailment
97,entailment
98,neutral
99,entailment
100,neutral
101,neutral
102,entailment
103,neutral
104,neutral
105,neutral
106,contradiction
107,entailment
108,neutral
109,entailment
110,entailment
111,contradiction
112,neutral
113,entailment
114,entailment
115,neutral
116,entailment
117,entailment
118,neutral
119,neutral
120,entailment
121,neutral
122,entailment
123,neutral
124,neutral
125,neutral
126,contradiction
127,entailment
128,neutral
129,neutral
130,contradiction
131,contradiction
132,neutral
133,entailment
134,neutral
135,neutral
136,entailment
137,neutral
138,neutral
139,contradiction
140,entailment
141,entailment
142,neutral
143,neutral
144,entailment
145,contradiction
146,contradiction
147,contradiction
148,neutral
149,neutral
150,neutral
151,neutral
152,entailment
153,entailment
154,neutral
155,neutral
156,contradiction
157,entailment
158,contradiction
159,neutral
160,entailment
161,entailment
162,entailment
163,contradiction
164,contradiction
165,neutral
166,contradiction
167,entailment
168,entailment
169,neutral
170,contradiction
171,contradiction
172,neutral
173,entailment
174,neutral
175,contradiction
176,neutral
177,neutral
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,contradiction
185,entailment
186,neutral
187,neutral
188,neutral
189,contradiction
190,contradiction
191,contradiction
192,entailment
193,neutral
194,neutral
195,neutral
196,entailment
197,entailment
198,neutral
199,entailment
200,neutral
201,neutral
202,neutral
203,entailment
204,contradiction
205,entailment
206,contradiction
207,neutral
208,entailment
209,neutral
